facility_type_id,name
1,General
2,Activities
3,Services
4,Room Amenities
5,Bathroom
6,Media & Technology
7,Food & Drink
8,Services & Extras
9,Outdoor & View
10,Ski
11,Internet
12,Kitchen
13,Outdoors
14,View
15,Living Area
16,Parking
17,Bedroom
18,Layout
19,Accessibility
20,Building characteristics
21,Pool and wellness
22,Transport
23,Reception services
24,Common areas
25,Entertainment and family services
26,Cleaning services
27,Business facilities
28,Shops
29,Miscellaneous
30,Bath/Hot spring
33,Hostel facilities
34,Safety & security
35,Sustainability initiatives
37,Safety features
38,Hygiene
39,Physical distancing
40,Cleanliness & disinfecting
41,Food & drink safety
42,Self check-in
43,Exclusive services
