hotel_type_id,name
201,Apartments
202,Guest accommodation
203,Hostels
204,Hotels
205,Motels
206,Resorts
207,Residences
208,Bed and breakfasts
209,Ryokans
210,Farm stays
212,Holiday parks
213,Villas
214,Campsites
215,Boats
216,Guest houses
217,Uncertain
218,Inns
219,Aparthotels
220,Holiday homes
221,Lodges
222,Homestays
223,Country houses
224,Luxury tents
225,Capsule hotels
226,Love hotels
227,Riads
228,Chalets
229,Condos
230,Cottages
231,Economy hotels
232,Gites
233,Health resorts
234,Cruises
235,Student accommodation
